-0.135	-0.000125	-0.135
-0.135	-0.000125	-0.105
-0.135	-0.000125	-0.075
-0.135	-0.000125	-0.045
-0.135	-0.000125	-0.015
-0.135	-0.000125	0.015
-0.135	-0.000125	0.045
-0.135	-0.000125	0.075
-0.135	-0.000125	0.105
-0.135	-0.000125	0.135
-0.105	-0.000125	-0.135
-0.105	-0.000125	-0.105
-0.105	-0.000125	-0.075
-0.105	-0.000125	-0.045
-0.105	-0.000125	-0.015
-0.105	-0.000125	0.015
-0.105	-0.000125	0.045
-0.105	-0.000125	0.075
-0.105	-0.000125	0.105
-0.105	-0.000125	0.135
-0.075	-0.000125	-0.135
-0.075	-0.000125	-0.105
-0.075	-0.000125	-0.075
-0.075	-0.000125	-0.045
-0.075	-0.000125	-0.015
-0.075	-0.000125	0.015
-0.075	-0.000125	0.045
-0.075	-0.000125	0.075
-0.075	-0.000125	0.105
-0.075	-0.000125	0.135
-0.045	-0.000125	-0.135
-0.045	-0.000125	-0.105
-0.045	-0.000125	-0.075
-0.045	-0.000125	-0.045
-0.045	-0.000125	-0.015
-0.045	-0.000125	0.015
-0.045	-0.000125	0.045
-0.045	-0.000125	0.075
-0.045	-0.000125	0.105
-0.045	-0.000125	0.135
-0.015	-0.000125	-0.135
-0.015	-0.000125	-0.105
-0.015	-0.000125	-0.075
-0.015	-0.000125	-0.045
-0.015	-0.000125	-0.015
-0.015	-0.000125	0.015
-0.015	-0.000125	0.045
-0.015	-0.000125	0.075
-0.015	-0.000125	0.105
-0.015	-0.000125	0.135
0.015	-0.000125	-0.135
0.015	-0.000125	-0.105
0.015	-0.000125	-0.075
0.015	-0.000125	-0.045
0.015	-0.000125	-0.015
0.015	-0.000125	0.015
0.015	-0.000125	0.045
0.015	-0.000125	0.075
0.015	-0.000125	0.105
0.015	-0.000125	0.135
0.045	-0.000125	-0.135
0.045	-0.000125	-0.105
0.045	-0.000125	-0.075
0.045	-0.000125	-0.045
0.045	-0.000125	-0.015
0.045	-0.000125	0.015
0.045	-0.000125	0.045
0.045	-0.000125	0.075
0.045	-0.000125	0.105
0.045	-0.000125	0.135
0.075	-0.000125	-0.135
0.075	-0.000125	-0.105
0.075	-0.000125	-0.075
0.075	-0.000125	-0.045
0.075	-0.000125	-0.015
0.075	-0.000125	0.015
0.075	-0.000125	0.045
0.075	-0.000125	0.075
0.075	-0.000125	0.105
0.075	-0.000125	0.135
0.105	-0.000125	-0.135
0.105	-0.000125	-0.105
0.105	-0.000125	-0.075
0.105	-0.000125	-0.045
0.105	-0.000125	-0.015
0.105	-0.000125	0.015
0.105	-0.000125	0.045
0.105	-0.000125	0.075
0.105	-0.000125	0.105
0.105	-0.000125	0.135
0.135	-0.000125	-0.135
0.135	-0.000125	-0.105
0.135	-0.000125	-0.075
0.135	-0.000125	-0.045
0.135	-0.000125	-0.015
0.135	-0.000125	0.015
0.135	-0.000125	0.045
0.135	-0.000125	0.075
0.135	-0.000125	0.105
0.135	-0.000125	0.135
